This file was created using the 202002 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Developed.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
199007   ,1.90   ,1.79   ,0.93   ,2.23   ,0.97   ,0.50
199008 ,-10.61 ,-10.69 ,-12.22  ,-9.18 ,-10.10  ,-9.98
199009  ,-9.73  ,-9.58 ,-10.59  ,-9.66 ,-10.76 ,-13.11
199010   ,2.80   ,3.70   ,0.98  ,11.16   ,9.82  ,10.96
199011  ,-2.97  ,-0.64   ,0.11  ,-3.87  ,-2.12  ,-2.71
199012   ,0.67   ,1.36   ,1.25   ,1.69   ,2.31   ,1.78
199101   ,1.42   ,1.25   ,2.46   ,1.16   ,3.80   ,4.56
199102  ,12.33  ,11.11  ,11.89   ,8.76   ,9.09   ,9.80
199103  ,-0.23   ,0.40   ,1.98  ,-2.82  ,-1.60  ,-2.49
199104   ,1.06   ,1.63   ,0.29   ,0.52   ,1.03   ,1.14
199105   ,1.05   ,0.96   ,1.00   ,0.62   ,2.06   ,1.17
199106  ,-4.65  ,-3.58  ,-4.87  ,-5.57  ,-5.93  ,-6.21
199107   ,2.45   ,2.65   ,3.04   ,4.17   ,4.18   ,4.72
199108  ,-1.02  ,-0.09   ,0.53  ,-0.62  ,-0.85  ,-0.39
199109   ,3.93   ,3.37   ,3.90   ,3.86   ,2.70   ,3.15
199110   ,2.25   ,1.04   ,1.36   ,1.48   ,1.57   ,2.33
199111  ,-4.56  ,-3.41  ,-4.13  ,-4.77  ,-4.86  ,-4.39
199112   ,4.07   ,4.98   ,5.64   ,5.97   ,6.95   ,8.39
199201   ,3.05   ,1.93   ,2.29  ,-1.51  ,-2.09  ,-2.90
199202   ,1.38   ,0.78   ,0.56  ,-1.06  ,-1.49  ,-2.66
199203  ,-3.84  ,-2.99  ,-4.70  ,-4.99  ,-4.68  ,-5.64
199204  ,-0.69  ,-0.04  ,-1.73   ,1.64   ,1.54  ,-1.39
199205   ,5.26   ,4.43   ,3.59   ,4.70   ,3.90   ,4.15
199206  ,-3.52  ,-1.96  ,-3.20  ,-3.32  ,-2.74  ,-4.58
199207  ,-2.70  ,-1.76  ,-2.32   ,0.71   ,0.15  ,-0.92
199208  ,-1.00   ,1.56  ,-0.01   ,5.05   ,1.43   ,2.52
199209  ,-1.70  ,-1.52  ,-1.21  ,-1.06  ,-0.90  ,-1.19
199210  ,-4.01  ,-2.96  ,-2.43  ,-3.72  ,-2.72  ,-1.40
199211   ,1.27   ,1.73   ,3.09   ,2.15   ,1.83   ,2.47
199212   ,2.95   ,1.90   ,1.67   ,1.16   ,0.84   ,0.59
199301   ,3.52   ,2.12   ,1.62   ,0.96  ,-0.08   ,0.25
199302   ,2.07   ,2.08  ,-0.06   ,3.68   ,2.06   ,0.79
199303   ,7.91   ,7.27   ,6.26   ,8.86   ,5.86   ,6.09
199304   ,5.82   ,5.48   ,3.61   ,6.16   ,3.63   ,3.15
199305   ,6.83   ,6.45   ,6.91   ,3.64   ,2.00   ,3.21
199306  ,-2.36  ,-2.61  ,-2.34  ,-1.05  ,-1.42  ,-3.38
199307   ,1.69   ,1.94   ,0.62   ,3.36   ,2.94   ,1.08
199308   ,5.62   ,5.87   ,5.50   ,4.09   ,4.71   ,4.88
199309  ,-0.76  ,-0.25   ,0.72  ,-2.34  ,-2.30  ,-0.91
199310   ,0.72   ,0.65   ,1.67   ,1.45   ,1.59   ,1.05
199311  ,-5.30  ,-4.25  ,-4.54  ,-8.15  ,-5.72  ,-4.09
199312   ,4.98   ,5.14   ,4.22   ,3.50   ,4.61   ,4.29
199401  ,10.99   ,7.54   ,6.60   ,8.99   ,7.20   ,5.99
199402   ,0.55   ,0.38   ,0.26  ,-0.69  ,-1.24  ,-1.56
199403  ,-2.54  ,-1.83  ,-3.76  ,-3.57  ,-3.24  ,-4.09
199404   ,3.53   ,2.83   ,1.60   ,3.23   ,2.76   ,1.71
199405  ,-0.64  ,-0.62  ,-1.68   ,0.90   ,0.32  ,-0.62
199406   ,0.75   ,0.56  ,-1.72   ,0.76   ,0.53  ,-0.39
199407   ,1.14   ,1.06   ,1.02   ,0.78   ,1.65   ,2.06
199408   ,1.74   ,1.81   ,3.41   ,1.76   ,2.80   ,3.21
199409  ,-1.07  ,-0.81  ,-0.59  ,-2.52  ,-2.64  ,-2.90
199410   ,0.90   ,1.22   ,0.41   ,2.65   ,3.01   ,2.28
199411  ,-5.04  ,-4.87  ,-5.15  ,-5.03  ,-4.55  ,-4.84
199412   ,1.32   ,1.14   ,0.68   ,1.66   ,1.19   ,0.79
199501  ,-1.47  ,-1.52  ,-1.46  ,-1.54  ,-2.50  ,-1.22
199502   ,1.16   ,1.18   ,1.94   ,0.09   ,1.02   ,2.08
199503   ,2.20   ,2.49   ,3.04   ,5.05   ,4.94   ,4.48
199504   ,2.31   ,2.05   ,1.86   ,4.13   ,2.89   ,2.70
199505   ,0.04   ,0.14   ,0.65  ,-0.24   ,0.60   ,1.08
199506   ,1.44   ,1.19   ,3.60  ,-1.64   ,0.49   ,2.25
199507   ,5.19   ,4.25   ,5.98   ,5.09   ,4.14   ,5.65
199508   ,1.48   ,0.39   ,0.00  ,-1.52  ,-1.27  ,-1.91
199509   ,0.62   ,0.68   ,1.43   ,2.11   ,2.39   ,2.28
199510  ,-3.60  ,-2.62  ,-3.73  ,-1.70  ,-1.30  ,-1.16
199511   ,2.45   ,2.10   ,1.49   ,4.27   ,3.53   ,1.47
199512   ,3.69   ,2.81   ,2.06   ,3.46   ,2.54   ,1.59
199601   ,2.42   ,1.13   ,1.25   ,1.61   ,1.74   ,1.27
199602   ,1.25   ,2.06   ,3.27   ,0.16   ,0.98   ,1.55
199603   ,1.90   ,1.91   ,2.03   ,2.27   ,1.07   ,1.43
199604   ,6.54   ,5.14   ,6.21   ,2.55   ,2.21   ,3.98
199605   ,2.46   ,2.09   ,3.38  ,-0.35   ,0.70   ,0.71
199606  ,-2.37  ,-1.68  ,-2.68   ,0.68   ,0.23  ,-0.73
199607  ,-5.16  ,-4.63  ,-7.55  ,-4.54  ,-3.28  ,-4.46
199608   ,1.79   ,2.41   ,3.60   ,0.51   ,1.68   ,1.50
199609   ,0.80   ,1.41   ,1.48   ,3.28   ,4.07   ,4.54
199610  ,-0.12   ,0.49  ,-1.35   ,0.14   ,0.53  ,-1.06
199611   ,1.88   ,2.68   ,1.84   ,4.85   ,5.19   ,5.56
199612  ,-0.59   ,0.25  ,-0.43  ,-1.48  ,-1.68  ,-1.22
199701   ,0.86   ,0.14   ,0.92   ,0.19   ,0.39   ,1.31
199702   ,0.74   ,0.15  ,-2.08   ,0.53   ,1.98  ,-1.09
199703  ,-2.39  ,-2.34  ,-4.26  ,-1.93  ,-2.31  ,-2.88
199704  ,-1.66  ,-1.22  ,-2.37   ,1.68   ,3.34   ,3.22
199705   ,8.26   ,8.20  ,10.15   ,6.68   ,7.40   ,8.42
199706   ,2.76   ,4.26   ,2.90   ,4.91   ,5.04   ,3.14
199707  ,-1.28   ,0.17   ,1.49   ,3.32   ,4.55   ,6.52
