This file was created using the 202002 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 prior return portfolios in Developed.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  Prior return is from -12 to - 2.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199011   ,0.13  ,-3.63  ,-3.36  ,-4.73  ,-4.05  ,-1.07
199012   ,0.10   ,0.52  ,-0.08   ,4.74   ,1.55  ,-0.36
199101   ,2.43  ,-0.19   ,0.80   ,4.19   ,3.30   ,2.44
199102  ,18.47  ,11.69  ,10.56  ,13.87   ,8.69   ,6.90
199103   ,0.66  ,-0.06   ,2.73  ,-2.94  ,-2.75  ,-1.09
199104   ,1.06   ,1.68   ,1.53   ,1.21   ,1.12   ,0.70
199105  ,-0.57   ,0.20   ,1.63   ,1.54   ,1.25   ,1.26
199106  ,-4.86  ,-3.55  ,-4.11  ,-6.29  ,-6.35  ,-4.82
199107   ,0.86   ,1.73   ,3.99   ,2.30   ,3.46   ,6.06
199108  ,-2.63  ,-1.13   ,2.87  ,-1.21  ,-1.55   ,0.14
199109   ,3.40   ,4.66   ,5.37   ,2.44   ,3.28   ,3.73
199110   ,0.53   ,1.46   ,2.97   ,0.92   ,1.32   ,3.39
199111  ,-4.69  ,-3.28  ,-3.83  ,-5.46  ,-4.66  ,-4.40
199112   ,2.01   ,3.86   ,6.44   ,5.23   ,7.88   ,7.21
199201   ,0.59   ,1.05   ,3.67  ,-0.51  ,-2.63  ,-2.79
199202   ,0.17   ,0.00   ,0.72  ,-2.44  ,-2.10  ,-0.63
199203  ,-5.63  ,-3.67  ,-4.47  ,-5.35  ,-5.01  ,-5.12
199204  ,-2.70  ,-2.46  ,-1.43   ,1.60  ,-0.14   ,0.31
199205   ,5.88   ,5.80   ,4.54   ,3.66   ,4.09   ,5.05
199206  ,-5.37  ,-2.50  ,-2.18  ,-5.52  ,-2.50  ,-2.97
199207  ,-4.41  ,-1.97  ,-1.06   ,0.21   ,0.48  ,-1.19
199208   ,1.54   ,1.04  ,-0.75   ,6.90   ,1.67   ,2.00
199209  ,-3.21  ,-0.53  ,-0.30  ,-2.64  ,-0.72  ,-0.38
199210  ,-4.02  ,-3.91  ,-2.02  ,-3.16  ,-2.96  ,-2.21
199211   ,1.50   ,0.48   ,3.38   ,2.25   ,2.02   ,2.07
199212   ,1.90   ,2.52   ,3.31  ,-0.30   ,1.08   ,1.41
199301   ,1.50   ,2.24   ,4.46  ,-0.77   ,0.34   ,1.33
199302   ,1.17   ,2.38   ,1.76   ,0.67   ,3.02   ,2.00
199303   ,8.59   ,6.78   ,7.16   ,5.59   ,6.89   ,7.86
199304   ,6.19   ,6.33   ,4.23   ,3.92   ,3.82   ,5.49
199305   ,7.47   ,6.69   ,6.31   ,2.48   ,1.89   ,4.74
199306  ,-3.61  ,-2.83  ,-0.51  ,-3.32  ,-1.60  ,-0.93
199307   ,0.80   ,1.16   ,1.93   ,1.19   ,2.22   ,4.47
199308   ,5.54   ,5.15   ,5.56   ,4.21   ,4.45   ,4.89
199309  ,-0.18  ,-0.11   ,0.40  ,-2.41  ,-1.56  ,-2.08
199310   ,1.17   ,0.09   ,1.66   ,2.01   ,1.24   ,0.97
199311  ,-3.61  ,-5.36  ,-6.97  ,-2.57  ,-6.81  ,-8.84
199312   ,3.66   ,4.34   ,5.66   ,3.32   ,4.50   ,4.93
199401   ,9.43   ,9.31   ,9.62   ,6.32   ,6.29  ,10.08
199402   ,0.67   ,1.05   ,0.83  ,-1.68  ,-1.50  ,-0.17
199403  ,-1.56  ,-1.90  ,-3.61  ,-2.80  ,-3.77  ,-3.87
199404   ,2.21   ,2.92   ,2.39   ,2.82   ,3.13   ,1.51
199405  ,-0.22  ,-0.54  ,-1.40   ,0.04   ,0.35  ,-0.18
199406   ,0.91   ,0.88  ,-0.57  ,-0.15  ,-0.03   ,1.49
199407   ,0.21   ,0.91   ,1.56   ,2.29   ,2.10  ,-0.50
199408   ,2.40   ,1.88   ,2.14   ,1.86   ,2.55   ,3.15
199409  ,-1.36  ,-1.39  ,-0.15  ,-3.18  ,-2.59  ,-2.16
199410   ,0.13   ,0.82   ,1.53   ,2.20   ,2.76   ,2.97
199411  ,-5.61  ,-5.45  ,-5.01  ,-3.98  ,-4.77  ,-5.67
199412  ,-0.68   ,1.58   ,1.98   ,0.65   ,1.53   ,1.27
199501  ,-0.90  ,-1.60  ,-2.44  ,-1.91  ,-1.37  ,-2.75
199502   ,0.86   ,0.51   ,1.47   ,0.84   ,0.98   ,1.11
199503   ,2.12   ,3.25   ,3.80   ,6.43   ,4.78   ,3.78
199504   ,1.81   ,2.03   ,2.40   ,2.44   ,2.87   ,4.14
199505  ,-0.22  ,-0.14   ,0.21   ,0.15   ,0.59   ,0.45
199506   ,0.33   ,0.59   ,4.02   ,0.05  ,-0.68   ,1.90
199507   ,4.45   ,4.75   ,6.07   ,4.91   ,4.59   ,4.85
199508   ,0.61   ,0.02   ,0.58  ,-0.71  ,-1.89  ,-1.38
199509  ,-0.89   ,0.91   ,2.94   ,0.76   ,2.17   ,3.02
199510  ,-4.54  ,-2.25  ,-2.63  ,-3.76  ,-0.81  ,-0.75
199511   ,0.97   ,1.98   ,2.39   ,3.51   ,3.48   ,2.64
199512   ,3.37   ,3.25   ,3.15   ,3.19   ,3.14   ,1.69
199601   ,2.26   ,1.44   ,1.33   ,1.49   ,1.66   ,1.21
199602   ,2.10   ,1.93   ,3.25   ,0.92   ,0.50   ,1.37
199603   ,1.32   ,2.21   ,2.47   ,2.08   ,1.49   ,1.41
199604   ,5.37   ,4.87   ,7.34   ,4.45   ,2.19   ,2.63
199605   ,1.84   ,1.78   ,4.07  ,-0.39   ,0.46   ,0.83
199606  ,-2.02  ,-0.94  ,-2.84  ,-0.79   ,0.52  ,-0.08
199607  ,-4.11  ,-4.19  ,-7.79  ,-3.70  ,-3.37  ,-5.01
199608   ,1.71   ,1.64   ,3.99   ,0.46   ,1.37   ,1.65
199609  ,-0.03   ,1.28   ,2.09   ,2.94   ,3.50   ,4.99
199610  ,-1.40  ,-0.20   ,0.14  ,-2.49   ,0.92   ,1.13
199611   ,1.94   ,2.14   ,1.41   ,4.70   ,5.52   ,5.04
199612  ,-1.63  ,-0.59  ,-0.81  ,-1.82  ,-1.19  ,-1.16
199701  ,-0.34  ,-0.91   ,0.32  ,-1.96   ,0.64   ,2.47
199702  ,-0.39   ,0.93  ,-0.57   ,1.18   ,1.72  ,-1.05
199703  ,-4.60  ,-2.88  ,-2.73  ,-2.84  ,-1.39  ,-2.77
199704  ,-3.20  ,-1.13  ,-0.97  ,-0.48   ,2.18   ,5.62
199705  ,11.66   ,8.49   ,8.65   ,9.00   ,6.32   ,7.30
