This file was created using the 202002 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Emerging_Markets.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
199207   ,3.70   ,5.18   ,1.45  ,-3.10  ,-0.39   ,4.27
199208  ,-4.45  ,-4.63  ,-1.50  ,-4.27  ,-3.05  ,-2.85
199209  ,-2.63   ,1.11  ,-6.22  ,-0.17   ,3.84   ,0.84
199210   ,1.88   ,2.14  ,13.28   ,7.56   ,1.13   ,5.63
199211  ,-1.06   ,0.83  ,14.21  ,-0.36  ,-3.20   ,1.64
199212   ,2.60   ,0.16   ,4.52   ,1.03   ,0.23   ,1.36
199301  ,-3.12   ,2.11  ,-3.25  ,-0.03   ,2.31  ,-3.31
199302   ,8.56   ,9.23   ,8.04   ,6.59   ,4.37   ,3.94
199303   ,0.55   ,3.72  ,10.76   ,1.40   ,0.78   ,6.14
199304   ,9.74  ,10.14   ,6.45   ,6.22   ,9.25  ,-1.93
199305  ,12.01  ,11.35   ,0.95   ,4.45   ,4.02   ,4.30
199306  ,-4.12   ,0.88  ,-2.71  ,-2.61   ,0.22   ,2.08
199307   ,5.95   ,3.68   ,4.12   ,3.89   ,2.26   ,6.79
199308  ,11.54  ,10.26   ,9.11   ,7.19   ,9.11   ,7.82
199309   ,7.30   ,8.06   ,6.70   ,3.87   ,5.71   ,2.18
199310  ,14.36   ,8.96  ,20.03   ,7.88  ,10.01  ,11.90
199311  ,14.23   ,8.90   ,7.75   ,4.43   ,5.17   ,6.91
199312  ,25.17  ,17.78  ,22.06  ,19.05  ,16.74  ,19.08
199401  ,-9.79  ,-0.52  ,-9.94   ,0.05  ,-2.97  ,-4.85
199402   ,5.09   ,5.44   ,5.47  ,-4.17   ,0.17  ,-2.60
199403 ,-15.08  ,-8.58 ,-10.52 ,-10.93  ,-9.23 ,-12.56
199404   ,1.36  ,-3.64  ,-2.42  ,-0.74  ,-0.05   ,0.75
199405  ,-3.37  ,-2.86  ,-7.34   ,2.14   ,2.07   ,0.75
199406  ,-2.15   ,0.19  ,-1.49  ,-2.10  ,-2.53  ,-4.01
199407   ,3.23   ,5.37   ,4.98   ,5.24   ,9.03   ,6.54
199408  ,17.00  ,17.45  ,17.78  ,13.74  ,14.59  ,10.24
199409  ,10.68   ,6.76   ,4.42   ,3.12   ,2.60   ,1.32
199410  ,-3.90  ,-2.16  ,-4.52  ,-0.49  ,-3.38  ,-3.37
199411  ,-1.99  ,-3.69  ,-3.34  ,-2.62  ,-4.07  ,-5.28
199412 ,-10.56  ,-4.57 ,-13.53 ,-12.80  ,-6.94 ,-11.43
199501 ,-17.08 ,-12.18 ,-19.20 ,-12.78 ,-10.71 ,-15.19
199502   ,5.94   ,5.61  ,-0.98   ,4.97  ,-1.81   ,2.61
199503  ,-1.62  ,-0.89  ,-1.77   ,0.01  ,-0.99   ,0.67
199504  ,-0.42   ,0.94   ,3.55   ,2.33   ,5.48   ,1.18
199505   ,4.20   ,4.63  ,-0.39   ,5.05   ,7.80   ,5.06
199506   ,2.38  ,-1.05   ,2.15   ,2.40  ,-0.78   ,1.47
199507   ,2.02   ,4.58   ,4.76   ,2.54   ,3.52   ,2.81
199508  ,-1.64  ,-1.84  ,-2.71  ,-2.30  ,-2.35  ,-2.99
199509  ,-0.95  ,-1.23  ,-1.77   ,1.65  ,-0.49  ,-1.34
199510  ,-3.93  ,-2.66  ,-3.84  ,-3.97  ,-2.96  ,-3.81
199511  ,-1.40  ,-0.88  ,-1.51  ,-1.34   ,0.25  ,-1.89
199512   ,3.40   ,2.96   ,1.97   ,3.10   ,2.51   ,5.13
199601   ,9.32   ,8.75  ,12.63  ,10.91   ,9.24   ,7.86
199602  ,-0.71   ,0.44  ,-0.21  ,-3.16  ,-3.04  ,-2.60
199603   ,3.01   ,3.05   ,5.80   ,1.38   ,1.10   ,1.27
199604   ,5.69   ,3.30   ,4.55   ,2.22   ,1.98   ,2.50
199605  ,-4.22  ,-3.94  ,-4.49  ,-1.16  ,-0.30  ,-2.71
