This file was created using the 202002 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 prior return portfolios in Emerging_Markets.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  Prior return is from -12 to - 2.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199001   ,0.26   ,9.66   ,6.32  ,-0.49  ,-0.01   ,4.32
199002   ,5.54  ,15.19  ,11.01   ,4.97   ,2.98   ,3.37
199003  ,-5.83  ,-5.42  ,-8.90  ,-3.98  ,-4.84  ,-3.79
199004  ,-0.23  ,-2.84 ,-13.39  ,-2.04  ,-0.46   ,0.65
199005   ,2.09   ,4.78  ,10.91  ,10.00   ,6.37  ,10.94
199006   ,0.09  ,-1.67  ,-2.97   ,1.60   ,7.53   ,4.45
199007   ,7.29  ,10.97  ,10.32   ,3.52   ,8.13   ,6.77
199008 ,-13.41 ,-14.53 ,-20.43 ,-12.15 ,-12.68 ,-14.84
199009  ,-5.98  ,-6.38  ,-8.22 ,-10.18 ,-12.00 ,-14.65
199010   ,5.99  ,-3.17  ,-2.15   ,0.12   ,1.01   ,1.78
199011  ,-4.66  ,-7.29  ,-4.35  ,-5.92  ,-3.77  ,-2.30
199012   ,2.45   ,1.68   ,3.28   ,3.64   ,1.31  ,-1.05
199101   ,1.06   ,4.78   ,1.55   ,2.79   ,1.21   ,1.51
199102  ,21.07   ,8.55   ,9.77  ,15.91  ,14.85   ,9.24
199103  ,-0.06   ,1.16   ,0.67  ,-0.65   ,3.74   ,5.34
199104  ,-0.75  ,-8.10   ,5.39  ,-2.01   ,2.16   ,1.02
199105   ,0.65   ,8.75   ,2.75   ,2.31   ,4.53   ,7.46
199106  ,-2.40  ,-3.00   ,0.88  ,-3.96  ,-3.01  ,-4.73
199107  ,-6.77  ,-1.69  ,-5.34   ,1.33   ,6.10   ,0.71
199108  ,-5.27  ,-3.75  ,-1.35   ,1.84   ,3.24  ,-2.04
199109  ,-3.09  ,-1.07  ,-1.13  ,-0.97  ,-2.19  ,-2.94
199110   ,0.94   ,1.41   ,3.09   ,7.57   ,4.68   ,7.68
199111   ,1.56   ,3.69   ,0.00  ,-1.37   ,1.59  ,-1.28
199112   ,0.49   ,8.36   ,1.96   ,7.65   ,7.60   ,8.21
199201   ,5.72  ,-0.56   ,4.66   ,3.76   ,6.57  ,11.45
199202   ,8.79   ,4.54   ,7.51  ,-0.96   ,0.01   ,5.37
199203  ,-1.69  ,-0.06   ,2.94   ,0.45  ,-5.80  ,-2.65
199204   ,2.91   ,3.43   ,5.41   ,1.28  ,-0.44  ,-1.40
199205   ,0.64  ,-0.76   ,4.05  ,-4.38  ,-0.14   ,0.32
199206  ,-8.99  ,-5.75  ,-0.35  ,-5.57  ,-4.15  ,-5.21
199207  ,-3.95   ,1.06   ,2.77  ,-3.37  ,-1.69   ,0.69
199208  ,-7.41  ,-4.70  ,-0.04  ,-4.76  ,-4.44  ,-1.14
199209  ,-1.93  ,-3.18  ,-7.08  ,-2.16   ,0.20  ,-0.50
199210   ,6.33   ,5.52   ,6.64   ,6.09   ,2.95   ,3.01
199211  ,-0.70   ,1.82  ,-3.62   ,2.32  ,-1.81  ,-1.59
199212   ,0.79   ,3.82   ,2.81   ,2.49   ,0.96   ,1.58
199301  ,-0.98  ,-1.76  ,-1.30  ,-1.41   ,0.62   ,0.82
199302   ,1.36   ,4.53   ,7.67   ,4.01   ,1.60   ,4.42
199303   ,5.25   ,4.08   ,2.77   ,3.82   ,2.86   ,0.18
199304   ,4.11   ,9.12   ,6.38   ,2.66   ,1.83   ,6.00
199305   ,6.97  ,12.93  ,11.15   ,2.84   ,5.27   ,2.80
199306  ,-0.48  ,-2.15  ,-4.69   ,2.15  ,-0.04  ,-0.64
199307   ,3.93   ,4.79   ,6.23   ,3.88   ,4.96   ,2.61
199308   ,7.91  ,10.32   ,9.52   ,6.19   ,9.29   ,8.99
199309   ,4.61   ,9.91  ,12.93   ,3.25   ,4.59   ,6.45
199310   ,5.59  ,10.36  ,19.33   ,9.13   ,9.42  ,13.52
199311   ,3.84  ,10.42  ,10.15   ,2.78   ,6.53   ,5.73
199312  ,17.55  ,22.47  ,20.49  ,18.03  ,21.29  ,17.54
199401   ,6.02  ,-4.31 ,-12.46  ,-1.14  ,-1.89  ,-1.49
199402   ,0.39  ,10.83   ,5.91  ,-1.66  ,-1.30  ,-1.20
199403  ,-7.40 ,-10.82 ,-11.49 ,-10.67 ,-11.78 ,-12.51
199404  ,-3.67  ,-0.68   ,1.61   ,1.80   ,0.33  ,-0.35
199405   ,0.86  ,-2.36  ,-2.08   ,2.47   ,2.65  ,-1.07
199406  ,-0.91   ,0.90  ,-2.92  ,-3.74  ,-2.48  ,-2.41
199407   ,4.40   ,5.26   ,4.80   ,6.72   ,6.17   ,8.15
199408  ,13.59  ,16.16  ,20.13   ,7.15  ,11.53  ,12.94
199409   ,5.36   ,6.05   ,7.39   ,1.23   ,1.86   ,3.25
199410  ,-1.25  ,-3.24  ,-2.70  ,-4.59  ,-1.65  ,-2.72
199411  ,-5.33  ,-2.66  ,-2.69  ,-4.91  ,-3.98  ,-4.21
199412  ,-5.96  ,-8.09  ,-9.30  ,-8.84 ,-10.39  ,-5.90
199501 ,-15.91 ,-15.58  ,-9.52 ,-14.95 ,-12.57  ,-9.61
199502   ,5.44   ,5.72  ,-1.07   ,1.84  ,-1.44   ,0.98
199503  ,-3.82   ,0.38  ,-0.08  ,-2.67   ,0.42   ,0.92
199504  ,-2.08  ,-0.14   ,0.89   ,4.39   ,3.50   ,1.83
199505   ,3.53   ,1.77   ,3.95   ,1.20   ,4.47   ,4.95
199506  ,-2.03   ,1.43   ,2.32  ,-0.44   ,0.46   ,1.28
199507   ,3.20   ,4.85   ,2.98   ,2.15   ,3.03   ,3.55
199508  ,-2.43  ,-1.77  ,-0.28  ,-1.57  ,-3.00  ,-2.74
199509  ,-1.23  ,-0.68   ,0.55   ,0.83   ,0.19  ,-1.32
199510  ,-5.43  ,-1.68   ,0.49  ,-5.41  ,-3.82  ,-0.90
199511  ,-2.99  ,-0.49   ,3.20  ,-3.06  ,-0.36   ,0.27
199512   ,2.76   ,4.21   ,5.12   ,3.77   ,3.41   ,4.04
199601  ,11.50   ,9.09  ,10.24  ,10.68   ,8.38   ,7.10
199602  ,-0.33   ,1.32   ,1.75  ,-1.98  ,-2.89  ,-1.41
199603   ,0.48   ,3.42   ,5.06   ,2.49   ,0.43   ,0.83
199604   ,5.47   ,5.37   ,1.28   ,3.66   ,3.08   ,3.56
199605  ,-1.09  ,-3.44  ,-5.84  ,-2.37  ,-1.55   ,0.19
199606  ,-0.37   ,1.66   ,4.54   ,0.15   ,1.17   ,2.30
199607  ,-4.67  ,-3.75  ,-2.39  ,-6.52  ,-6.35  ,-4.13
199608  ,-0.81   ,3.52   ,6.98   ,1.91   ,4.28   ,2.08
199609   ,1.42   ,3.03   ,5.12   ,1.15   ,1.04   ,1.99
199610  ,-2.64  ,-0.97   ,3.62  ,-1.39  ,-2.10  ,-2.78
199611   ,0.18   ,1.18  ,-0.71   ,0.87   ,1.19   ,2.02
199612  ,-0.89  ,-0.71  ,-1.14   ,0.40   ,0.55   ,1.09
199701   ,6.10   ,7.43   ,8.50   ,7.47   ,5.46   ,8.27
199702   ,7.41   ,6.40   ,6.40   ,4.66   ,5.94   ,4.49
199703  ,-1.26   ,0.48   ,0.86  ,-2.89  ,-2.45  ,-1.67
199704  ,-4.29  ,-2.98  ,-3.55  ,-4.90  ,-0.54  ,-1.25
199705  ,-0.39   ,0.24   ,1.75  ,-0.07   ,4.10   ,4.30
199706   ,2.29   ,2.46   ,4.34   ,1.88   ,5.11   ,7.49
199707   ,1.51   ,1.07   ,0.96   ,0.96  ,-0.31   ,1.62
199708  ,-8.28  ,-9.46  ,-9.42 ,-12.30 ,-12.01 ,-11.47
199709   ,0.43  ,-0.55  ,-0.95   ,0.01   ,2.07   ,3.80
199710 ,-13.27 ,-13.19 ,-12.23 ,-15.64 ,-17.07 ,-16.34
199711 ,-12.96  ,-8.79  ,-4.50  ,-9.72  ,-4.42  ,-2.57
199712  ,-5.43  ,-4.27  ,-3.16  ,-1.25   ,0.36  ,-0.77
199801  ,-7.59  ,-5.71  ,-5.15  ,-6.07  ,-7.96  ,-4.30
199802  ,13.71  ,11.95   ,7.51  ,10.14   ,8.44  ,13.90
199803   ,5.47   ,4.92   ,4.69   ,5.08   ,4.44   ,2.16
199804  ,-1.99   ,0.99   ,2.10   ,4.68  ,-0.22  ,-1.51
199805  ,-7.34  ,-4.71  ,-3.99 ,-12.42 ,-11.92 ,-10.37
199806 ,-10.16  ,-8.98  ,-9.24 ,-12.78  ,-9.75 ,-11.26
199807   ,2.06  ,-0.10  ,-0.02   ,1.23   ,2.56   ,4.12
199808 ,-17.21 ,-19.10 ,-16.68 ,-24.59 ,-28.15 ,-24.86
199809   ,3.42   ,0.07  ,-1.01   ,6.83   ,5.09   ,2.91
199810   ,7.29   ,1.86   ,0.82  ,10.02   ,9.80   ,7.13
199811  ,15.95   ,5.95   ,2.10  ,10.38   ,7.67   ,2.82
199812  ,-0.06  ,-0.18  ,-1.25  ,-4.00  ,-0.69   ,1.78
199901  ,-1.68  ,-1.51  ,-4.13  ,-1.81  ,-1.40  ,-0.89
199902  ,-1.44  ,-0.19  ,-1.14  ,-0.15   ,0.96   ,0.40
199903   ,8.40   ,7.69   ,6.36  ,12.74  ,10.35   ,6.71
199904  ,13.61  ,11.91   ,9.08  ,13.38  ,12.47  ,14.46
199905   ,2.19   ,4.60   ,5.26  ,-0.17  ,-0.69   ,0.89
199906  ,11.15  ,11.73  ,14.90  ,11.03   ,9.16  ,12.50
199907  ,-2.68   ,1.41   ,8.10   ,2.14  ,-2.68  ,-1.93
199908   ,0.28   ,3.74  ,11.79   ,0.65   ,3.12   ,4.39
199909  ,-3.12  ,-6.24  ,-1.58  ,-1.85  ,-4.26  ,-2.33
199910  ,-0.95   ,4.10  ,11.14   ,0.11   ,3.56   ,5.04
199911   ,5.05   ,7.41  ,12.47   ,6.56  ,11.57   ,7.93
199912   ,7.35   ,5.40   ,1.32   ,7.44  ,12.69  ,15.37
200001  ,10.29   ,4.22   ,1.13  ,-1.82  ,-0.95   ,1.23
200002   ,0.66   ,2.52   ,2.04  ,-1.39  ,-0.42   ,7.47
200003   ,1.97   ,1.08  ,-2.84  ,-0.66   ,2.23  ,-0.26
200004  ,-8.06  ,-8.78 ,-15.57  ,-8.55 ,-10.42 ,-14.49
200005  ,-4.44  ,-0.12  ,-0.80  ,-0.35  ,-2.71  ,-3.23
200006  ,-0.34  ,-1.15   ,0.03  ,-1.12   ,2.14   ,5.96
200007  ,-1.79  ,-1.96  ,-3.97  ,-2.02  ,-2.98  ,-8.00
200008  ,-3.01  ,-1.01   ,0.43  ,-2.44   ,1.31   ,1.16
200009  ,-7.68  ,-6.36  ,-9.62  ,-9.17  ,-8.76  ,-9.62
200010 ,-11.76  ,-7.54  ,-9.65  ,-5.99  ,-8.59  ,-9.07
200011  ,-7.44  ,-6.85  ,-6.98 ,-11.22  ,-6.34  ,-9.09
200012  ,-1.32  ,-1.48  ,-2.81   ,2.30   ,1.93   ,2.46
200101  ,14.12   ,8.57   ,9.43  ,17.68  ,12.92   ,6.18
200102  ,-1.36   ,1.12  ,-1.96 ,-12.91  ,-7.35  ,-2.97
200103  ,-6.52  ,-3.73  ,-4.55 ,-12.53  ,-7.53  ,-8.15
200104   ,0.83   ,0.86   ,2.44   ,5.04   ,3.78   ,5.10
200105   ,0.29   ,1.08   ,1.91  ,-0.27   ,0.51   ,3.02
200106  ,-0.87   ,0.56   ,1.93  ,-3.44  ,-1.30  ,-0.76
200107  ,-5.60  ,-6.31  ,-5.72  ,-8.05  ,-5.40  ,-7.48
200108   ,0.54  ,-0.30  ,-1.17  ,-4.06   ,0.06  ,-0.45
200109 ,-18.02 ,-11.18 ,-10.17 ,-18.60 ,-14.10 ,-12.81
200110   ,7.47   ,3.27   ,3.43   ,5.26   ,6.39   ,4.51
200111  ,11.77   ,6.01   ,4.62  ,14.99  ,10.48   ,5.99
200112   ,4.80   ,6.36   ,4.21   ,7.00   ,9.91   ,8.00
200201   ,7.01   ,5.16   ,5.48   ,0.33   ,3.07   ,6.62
200202  ,-3.10   ,0.19   ,1.57  ,-0.70   ,2.12   ,3.75
200203  ,10.09   ,8.34   ,5.42   ,5.12   ,6.32   ,7.78
200204   ,0.78   ,3.64   ,2.64   ,0.46   ,1.48  ,-2.13
200205  ,-0.54   ,0.63  ,-0.15   ,0.00  ,-3.58   ,0.71
200206  ,-8.91  ,-5.50  ,-4.80  ,-8.12  ,-7.70  ,-6.13
200207  ,-5.02  ,-3.89  ,-3.03  ,-6.56  ,-6.89  ,-6.79
200208  ,-1.32   ,2.21  ,-0.95   ,1.37   ,1.18   ,2.09
200209 ,-13.47 ,-10.58  ,-9.38 ,-13.13 ,-10.06  ,-8.82
200210   ,4.19   ,4.94   ,7.08   ,6.45   ,6.46   ,5.73
200211   ,5.80   ,6.55   ,5.77   ,6.79   ,5.62   ,6.59
200212  ,-3.76  ,-0.09  ,-0.40  ,-4.81  ,-1.94  ,-2.07
200301   ,1.28   ,2.42   ,4.44   ,0.17  ,-1.12   ,0.59
200302  ,-2.58  ,-1.25  ,-0.98  ,-3.52  ,-3.06  ,-1.71
200303  ,-6.49  ,-3.10  ,-3.48  ,-3.57  ,-3.69  ,-1.54
200304   ,8.81   ,6.90   ,7.07   ,9.28   ,9.79   ,7.17
200305   ,9.07   ,7.78   ,4.84   ,8.73   ,6.43   ,7.46
